class	condition	object	pos	value
C	B	57	11.1111111111	1.94596009421
B	B	24	11.1111111111	0.0
C	B	44	11.1111111111	4.33692667213
B	B	15	11.1111111111	0.0
C	B	51	11.1111111111	5.75014637145
B	B	27	11.1111111111	0.803857715936
C	C	52	11.1111111111	2.24114550966
C	C	57	11.1111111111	0.737813937916
B	C	24	11.1111111111	0.0
C	C	44	11.1111111111	1.40525666986
B	C	15	11.1111111111	0.0
C	C	51	11.1111111111	0.629559923746
B	C	27	11.1111111111	0.956560763935
C	A	45	11.1111111111	2.27323567828
C	A	49	11.1111111111	2.07008392512
C	A	53	11.1111111111	5.70132606515
B	A	23	11.1111111111	0.0
C	A	41	11.1111111111	0.200436554854
C	A	40	11.1111111111	3.38354726342
C	A	48	11.1111111111	5.07731983236
C	B	45	11.1111111111	1.59124855448
C	B	49	11.1111111111	3.68377133778
C	B	53	11.1111111111	5.75014637145
B	B	23	11.1111111111	0.0
C	B	41	11.1111111111	3.3010940317
C	B	40	11.1111111111	1.29545561636
C	B	48	11.1111111111	4.32460030305
C	C	45	11.1111111111	2.07518141283
C	C	49	11.1111111111	2.54860110722
C	C	53	11.1111111111	3.06313632003
B	C	23	11.1111111111	0.0
C	C	41	11.1111111111	1.70346974483
C	C	40	11.1111111111	0.8185528312
C	C	48	11.1111111111	0.107725358814
A	A	4	11.1111111111	0.0
B	A	32	11.1111111111	3.95525681329
B	A	37	11.1111111111	1.03374013933
B	A	36	11.1111111111	1.08533490994
B	A	31	11.1111111111	2.84700651722
B	A	26	11.1111111111	0.0
A	B	4	11.1111111111	0.0
B	B	32	11.1111111111	2.82308654645
B	B	37	11.1111111111	2.01867903513
B	B	36	11.1111111111	4.21025255325
B	B	31	11.1111111111	1.62383175366
B	B	26	11.1111111111	0.0263737375063
A	C	4	11.1111111111	0.0
B	C	32	11.1111111111	0.608881139129
B	C	37	11.1111111111	2.39805452185
B	C	36	11.1111111111	2.23349942479
B	C	31	11.1111111111	1.47453157077
B	C	26	11.1111111111	0.0
A	A	0	11.1111111111	0.0
B	A	21	11.1111111111	0.854148887971
C	A	55	11.1111111111	6.53327017289
C	A	42	11.1111111111	3.16243854163
B	A	38	11.1111111111	1.0115049419
A	A	14	11.1111111111	0.0
A	A	1	11.1111111111	0.532874477543
A	B	0	11.1111111111	0.0
B	B	21	11.1111111111	1.07434718336
C	B	55	11.1111111111	5.75014637145
C	B	42	11.1111111111	5.00416031859
B	B	38	11.1111111111	2.01293654065
A	B	14	11.1111111111	0.0
A	B	1	11.1111111111	2.80735492206
A	C	0	11.1111111111	0.0
B	C	21	11.1111111111	0.132450498507
C	C	55	11.1111111111	0.827053990243
C	C	42	11.1111111111	2.04271787096
B	C	38	11.1111111111	2.18892245416
A	C	14	11.1111111111	0.0
A	C	1	11.1111111111	1.17333150761
B	A	29	11.1111111111	0.0
B	A	16	11.1111111111	0.0
